Name,Domain,priority,signal_category,chosen_signal,case_study_name,case_study_url,first_message,second_message,third_message
Aimon Labs,aimon.ai,high,performance,site speed (desktop 40),Studio Artegra,https://prismport.co/case-studies/studio-artegra,"Hey {first-name}, came across Aimon while looking at AI tools.

You're helping enterprises trust their AI in production, so I'd guess the teams landing here are technical and notice when things feel sluggish.

I ran a quick speed test and the site scored 40 on desktop, which is slow for a product selling reliability. A quicker site would back up that promise from the first click.

Have you thought about a rebuild to speed it up?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Studio Artegra, a site that looked great but ran slow under the hood, on a similar challenge to yours.

https://prismport.co/case-studies/studio-artegra

We rebuilt it and pushed performance up over 25%.

Felt close to what you're working through with Aimon, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Octomind,www.octomind.dev,high,other,strong precinct (cut debugging time in half),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Octomind while looking at dev tools.

You've helped teams cut debugging time in half, so I'd guess growth is mostly engineers who try it telling other engineers.

Which means the site is where a developer decides it's worth wiring into their pipeline. And there's room for it to feel as sharp as the tool itself.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious tool to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Octomind, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Vengo AI,vengoai.com,medium,design,soft refresh (product-first-impression inference),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Vengo while looking at AI tools.

You're helping business owners catch more leads with AI agents, so I'd guess a lot of them land on the site ready to be convinced it'll actually pay off.

Which means the site carries the weight of that first impression. And there's room for it to feel as capable as the product you're building.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, worth flagging, you've got Meta Pixel and Microsoft Ads cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Relling,rellingsystems.com,high,other,team-pedigree precinct (SpaceX/NASA background),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Relling while looking at engineering tools.

You've got a team out of SpaceX and NASA building this, so I'd guess early trust comes from that pedigree and word between serious engineering circles.

Which means the site is where a new team decides you're credible enough to test critical systems. And there's room for it to feel as rigorous as the people behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making serious engineering work land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Relling, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Mountain Protocol,mountainprotocol.com,high,other,strong precinct (OpenZeppelin audit),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Mountain Protocol while looking at crypto tools.

You've been audited by OpenZeppelin, so I'd guess trust and regulation are the whole reason people pick you over riskier options.

Which means the site is where a cautious institution decides you're safe to use. And there's room for it to feel as secure and regulated as you actually are.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful, technical buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Mountain Protocol, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Semble AI,sembleai.com,high,other,team-pedigree precinct (Tesla/SpaceX) + specialized niche,Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Semble while looking at AI tools.

You've got a team out of Tesla and SpaceX tackling fire and life-safety design, so I'd guess early trust comes from that pedigree and word inside a pretty specialized industry.

Which means the site is where a new firm decides you're credible enough for compliance-critical work. And there's room for it to feel as serious as what you're building.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a heavily regulated, compliance-heavy space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Avataros,www.avataros.com,high,content,content depth / show off a visual product,YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across AvatarOS while looking at software tools.

You're building real-time 3D avatars that run right in a browser, so I'd guess people need to see it in action to believe it.

Which means the site's job is to show off what the tech can actually do. And there's room for it to go deeper and let people feel the experience.

Have you thought about building the site out to show more?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform that had to show off something highly visual, on a similar challenge to yours.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Liva AI,www.theliva.ai,high,design,"genuinely lacking design (37, poor execution)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Liva while looking at AI tools.

You're selling real voice and video data, which is a serious, technical thing to trust someone with, so I'd guess buyers weigh how polished and clear you come across.

Which means the site is doing a lot of that first-impression work. And there's genuinely room to make it read more clearly and feel more finished.

Have you thought about a proper design refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product read clearly and land fast with careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
AppliedXL,www.appliedxl.com/,high,content,"content depth (thin, 46)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across AppliedXL while looking at data tools.

You're catching signals in data before they become news, which is genuinely intriguing, so I'd guess the people landing want to understand exactly how it works.

Which means the depth of what the site explains carries the pitch. And there's room for it to spell out more of what each product actually does.

Have you thought about building the site out that way?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, turning a site people skimmed into one they actually stayed and read.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 14 days, worth a renew before it lapses.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Naftiko,naftiko.io,high,other,hard-metric precinct (coverage across the Fortune 1000),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Naftiko while looking at dev tools.

You've got coverage complete across the Fortune 1000, so I'd guess the enterprise architects landing here expect a certain level of polish before they engage.

Which means the site is quietly part of how credible you look to them. And there's room for it to feel as substantial as the platform behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical API company, on a similar challenge, getting a serious product to land fast with enterprise buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Naftiko, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Brightband,www.brightband.com/,high,other,"team-pedigree precinct (Google X, Waymo)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Brightband while looking at AI tools.

You've got a team out of Google X and Waymo building Earth system AI, so I'd guess early credibility comes from that pedigree and the open-source work you're putting out.

Which means the site is where a new partner decides you're the serious team in a crowded space. And there's room for it to feel as substantial as the people behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, making serious, complex work land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Brightband, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Tailsight,www.tailsight.ai/,high,other,strong precinct (Alaska Airlines),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Tailsight while looking at aviation tools.

You've got Alaska Airlines trusting you with maintenance planning, so I'd guess most new business comes through a small, tight world of aviation ops people talking.

Which means the site is where a new airline decides you're proven enough to rely on. And there's room for it to feel as capable as that kind of customer suggests.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful enterprise buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Simplicity,www.onesimplicity.com,medium,design,soft refresh (public-sector trust inference),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Simplicity while looking at govtech tools.

You're building communication tools for cities and their residents, so I'd guess your buyers are municipalities that move carefully and need to trust what they adopt.

Which means the site has to make a cautious public-sector team feel confident quickly. And there's room for it to feel as solid and official as the work calls for.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company selling to careful, deliberate buyers, on a similar challenge, making a serious product feel as credible as it is.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
ZoraSafe,www.zorasafe.com,medium,design,soft refresh (consumer-trust inference),Wondersimple,https://prismport.co/case-studies/wondersimple,"Hey {first-name}, came across ZoraSafe while looking at security tools.

You're protecting everyday people from scams and digital threats, so I'd guess trust is the entire reason someone installs you over doing nothing.

Which means the site has to make a nervous, non-technical person feel safe right away. And there's room for it to feel as reassuring as the protection you offer.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Wondersimple, a consumer product on a similar challenge to yours, giving it a site that turned first-time visitors into buyers.

https://prismport.co/case-studies/wondersimple

After the launch, sales went up over 50%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Giles AI,www.giles.app,high,other,strong precinct (users cut manual effort 85%),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Giles while looking at research tools.

You've had users cut manual research effort by 85%, so I'd guess word spreads fast through universities and research teams who all know each other.

Which means the site is where a new researcher decides you're worth trying. And there's room for it to feel as capable as those results sound.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a research-heavy technical company, on a similar challenge, making a serious tool land clearly with a careful audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also worth checking, your robots setup is currently blocking the AI crawlers, so tools like ChatGPT can't see the site, which matters more for getting found these days.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
OPTT Health,www.optt.health,medium,design,soft refresh (clinical-credibility inference),Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across OPTT while looking at health tools.

You're bringing evidence-based AI to mental health teams, so I'd guess clinicians only adopt it once they fully trust it's rigorous and safe.

Which means the site has to carry that clinical credibility from the first look. And there's room for it to feel as evidence-based as the work behind it.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a company in a careful, evidence-heavy space, on a similar challenge, building a site as credible as the research behind it.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with OPTT, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Trials.ai,trials.ai/,high,other,strong precinct (100+ life science companies served),Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Trials.ai while looking at health tools.

You've served over 100 life science companies optimizing trial protocols, so I'd guess most new business comes through a tight world of clinical and regulatory people.

Which means the site is where a new sponsor decides you're proven enough to trust with a trial. And there's room for it to feel as established as that track record.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a life sciences company in a heavily regulated space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Felt close to what you're working through with Trials.ai, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Chronicle Studios,www.chronicle.studio,high,other,press precinct (featured in Deadline etc.) / culture-first,YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Chronicle while looking at entertainment tools.

You've been featured in places like Deadline for your audience work, so I'd guess a lot of interest comes from studios and brands hearing about you through the industry.

Which means the site is where a new partner decides you get culture as well as data. And there's room for it to feel as sharp as the world you work in.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform deep in culture and creators, on a similar challenge to yours, giving it a site as sharp as the world it operates in.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Felt close to what you're working through with Chronicle, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Olio Labs,oliolabs.co/,high,other,"team/advisor pedigree (Harvard, Recursion) + depth",Amalia,https://prismport.co/case-studies/amalia-tech,"Hey {first-name}, came across Olio while looking at health tools.

You've got advisors out of places like Harvard and Recursion behind the science, so I'd guess early credibility leans heavily on that caliber of people.

Which means the site is where a new partner decides the science is as serious as the names suggest. And there's room for it to explain more of what makes the platform work.

Have you thought about building the site out to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Amalia, a life sciences company in a heavily regulated space, on a similar challenge, building a credible site their own team could keep expanding.

https://prismport.co/case-studies/amalia-tech

By the end, 25 of the 44 pages were built by their own team.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Incept AI,www.incept.ai/,high,other,strong precinct (95%+ AI-only order completion),Webless AI,https://prismport.co/case-studies/webless-ai,"Hey {first-name}, came across Incept while looking at AI tools.

You're handling 95%+ of drive-thru orders end to end with voice AI, so I'd guess restaurant groups hear about results like that and come looking.

Which means the site is where a new chain decides you're proven enough to put on the front line. And there's room for it to feel as sharp as those numbers are.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning strong results into visitors who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Incept, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Wafer,www.herdora.com/,high,other,strong precinct (top-benchmarked inference),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Wafer while looking at AI tools.

You're benchmarking as the fastest inference option out there, so I'd guess developers find you by comparing numbers and picking the top one.

Which means the site is where a technical buyer confirms you're the real deal. And there's room for it to feel as sharp as your benchmarks are.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Wafer, happy to show you how we'd approach yours.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Ascentra Labs,ascentralabs.ai/,high,content,content depth / proof (design already strong),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Ascentra while looking at AI tools.

You explain the product cleanly and the site already looks sharp, so I'd guess the people landing get it fast and are mostly weighing whether to trust it with real PE work.

Which means the next thing they want is proof. And there's room to back it with named results and go a level deeper.

Have you thought about building that part out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, giving a strong product the depth and proof to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 27 days, worth a renew before it lapses.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
TAHO,taholabs.com,high,design,soft refresh (crediting a strong data-backed argument),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across TAHO while looking at dev tools.

You make a genuinely sharp, data-backed case for the GPU utilization problem, so I'd guess the engineers landing take you seriously fast.

Which means the site is already doing real convincing. And there's room for the design to feel as rigorous as the argument you're making.

Have you thought about a refresh?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got Microsoft Ads and X ad cookies loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
DeepTrust,www.deeptrust.ai/,high,design,soft refresh (urgent-threat trust inference),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across DeepTrust while looking at security tools.

You're tackling deepfake and voice social engineering, which is suddenly very real for enterprises, so I'd guess buyers land already worried and looking for someone credible.

Which means the site has to convert that concern into trust fast. And there's room for it to feel as serious and enterprise-ready as the threat itself.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful enterprise buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Zetta Technologies,zettatech.sa.com,medium,design,soft refresh (unfamiliar-model trust inference),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Zetta while looking at IT tools.

You're offering device-as-a-service with a genuinely different model, so I'd guess a lot of businesses land curious but needing to trust something unfamiliar.

Which means the site has to make an unusual model feel safe and clear. And there's room for it to feel as polished as the offer is smart.

Would a refresh be worth exploring?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to make an unfamiliar product feel clear and credible, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Loon,loon.finance,high,other,"trust precinct (reserves at ATB Financial, attested)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Loon while looking at fintech tools.

You hold your reserves at ATB Financial and publish attestations, so I'd guess trust and transparency are exactly how you win against riskier stablecoins.

Which means the site is where a cautious partner decides you're the credible, regulated option. And there's room for it to feel as trustworthy as your setup actually is.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful, technical buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Loon, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Arthos,arthos.inc/,medium,content,"content depth (thin, 35) on a creative product",YourCulture,https://prismport.co/case-studies/your-culture,"Hey {first-name}, came across Arthos while looking at AI tools.

You're building AI that respects an artist's own style and intention, which is a lovely idea, so I'd guess creatives land wanting to see how that actually plays out.

Which means the site needs to show the thing in action, not just describe it. And there's room for it to go deeper and prove the idea.

Have you thought about building the site out that way?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with YourCulture, a platform for creators and artists, on a similar challenge to yours, building a site that shows off a creative product instead of just describing it.

https://prismport.co/case-studies/your-culture

We built it into a motion-rich site that scored 97 on Lighthouse.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Nursesbnb,www.nursesbnb.com/,high,other,niche community + two-sided marketplace,Flatable,https://prismport.co/case-studies/flatable,"Hey {first-name}, came across Nursesbnb while looking at marketplace tools.

You built mid-term housing specifically by a healthcare pro for healthcare pros, so I'd guess most traction comes from nurses trusting one of their own and spreading the word.

Which means the site is where a traveling nurse decides you actually get them. And there's room for it to feel as tailored as the idea behind it.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a housing marketplace with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Ariga Technologies,ariga.io,high,content,OSS precinct (Ent in Linux Foundation) + thin content,NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Ariga while looking at dev tools.

Your work on Ent made it into the Linux Foundation, so I'd guess a lot of trust comes from the open-source engineers who already know the project.

Which means the site is where a new team decides the commercial side is worth it. And there's room for it to explain a lot more than it does today.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, totally understand if this isn't top of mind right now. It'll keep, so reach out whenever you'd like to dig into it."
Cloudburst Technologies,burst.cloud/,medium,content,content depth / proof (design already sharp),NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Cloudburst while looking at security tools.

The site already looks sharp for a threat-intel product, so I'd guess buyers land taking you seriously, then start looking for proof you deliver.

Which means the next thing they want is credibility, real names and results. And there's room to build that in.

Have you thought about building that in?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, giving a strong product the proof and depth to convince careful buyers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Cloudburst, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
cwallet,cwallet.qa/,high,content,regulatory precinct (Qatar Central Bank) + thin content,NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across cwallet while looking at fintech tools.

You're regulated by the Qatar Central Bank and PCI compliant, so I'd guess trust and compliance are the whole reason people move money through you.

Which means the site is where a cautious user or partner decides you're safe. And there's room for it to explain more and feel as regulated as you are.

Have you thought about building the site out to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful buyers, on a similar challenge to yours.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with cwallet, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Roger,tryroger.com/,high,other,"strong precinct ($6.5B of projects, Skanska etc.)",NewsCatcherAPI,https://prismport.co/case-studies/newscatcher,"Hey {first-name}, came across Roger while looking at construction tools.

You're embedded on over $6.5 billion of projects, so I'd guess most new business comes through project managers who all move in the same tight construction circles.

Which means the site is where a new firm decides you're proven at real scale. And there's room for it to feel as established as that number is.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a proven product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
