Name,Domain,tech_stack,monthly_visits,letter_grade,priority,signal_category,chosen_signal,angle_rationale,inference,why_it_matters,use_traffic_scale,genuine_positive,quotable_fact_to_use,secondary_point,secondary_reasoning,case_study_name,case_study_rationale,case_study_url,tone_flag,first_message,second_message,third_message
Pelles.ai,www.pelles.ai/,next.js,3606,C+,high,other,"precinct (Kidwell, 100+ hours saved per project)","Content (84) strong, design (46) fine, no perf. Named customer + concrete result used as the inference.","You've got estimators like Kidwell saving 100+ hours a project with you, so I'd guess growth moves through subcontractors telling the crews they came up with.",Which means the site is where a new estimator decides you're worth trying. And there's room for it to feel as sharp as those results.,False,estimators like Kidwell saving 100+ hours per project,estimators like Kidwell saving 100+ hours per project,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Pelles while looking at construction tech.

You've got estimators like Kidwell saving 100+ hours a project with you, so I'd guess growth moves through subcontractors telling the crews they came up with.

Which means the site is where a new estimator decides you're worth trying. And there's room for it to feel as sharp as those results.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Pelles, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Dotwork,www.dotwork.com,next.js,3539,C+,high,other,precinct (named leaders at Solarwinds / NVIDIA),"Content (78) fine, design (57) fine; desktop 65 borderline with no field data so speed NOT led. Named-executive testimonials used as the inference. Ad-cookie GDPR finding staged for msg 2.","You've got leaders at Solarwinds and NVIDIA vouching for you, so I'd guess growth runs on those names opening rooms at other enterprises.",Which means the site is where a new exec decides you're the real thing. And there's room for it to feel as sharp as that endorsement.,False,leaders at Solarwinds and NVIDIA vouching for it,leaders at Solarwinds and NVIDIA vouching for it,ad cookies before consent: Microsoft Ads (no consent banner),none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Dotwork while looking at planning tools.

You've got leaders at Solarwinds and NVIDIA vouching for you, so I'd guess growth runs on those names opening rooms at other enterprises.

Which means the site is where a new exec decides you're the real thing. And there's room for it to feel as sharp as that endorsement.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, worth flagging, you've got a Microsoft Ads cookie loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Veezoo,www.veezoo.com,next.js,3522,B,high,other,"precinct (air up, 87% fewer ad-hoc requests)","Content (86) strong with excellent proof (ex-Tableau CEO quote, named customer result). Desktop 53 is flagged poor but has no field data to confirm, and the proof is far stronger, so led the precinct, not speed. Ad-cookie GDPR finding staged for msg 2.","You've got teams like air up cutting their ad-hoc data requests 87% with you, so I'd guess growth comes from data leaders who've felt that relief passing your name along.",Which means the site is where a new team decides to trust it with their data. And there's room for it to feel as sharp as those results.,False,air up cutting ad-hoc data requests 87% with them,air up cutting ad-hoc data requests 87% with them,ad cookies before consent: Google Ads (banner present but not gating),none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Veezoo while looking at analytics tools.

You've got teams like air up cutting their ad-hoc data requests 87% with you, so I'd guess growth comes from data leaders who've felt that relief passing your name along.

Which means the site is where a new team decides to trust it with their data. And there's room for it to feel as sharp as those results.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, quick heads up, your cookie banner shows but a Google Ads cookie is already set before anyone clicks accept, so it's not really gating it yet. I'm assuming you'll have EU visitors, so that part just needs to be GDPR compliant. Quick to sort though.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Proception,proception.ai/,next.js,3503,C-,medium,content,"content build-out (thin, 32)","content_really_thin is TRUE (32, high-level taglines only) for an ambitious robotics product. Led content-depth. Design (57) fine, no perf.","You're building humanoid robotic hands with human-level dexterity, which is genuinely ambitious, so I'd guess people land fascinated but wanting to see how real it is.",Right now the site stays pretty high-level. And there's room for it to show the depth behind the vision.,False,building humanoid robotic hands with human-level dexterity,building humanoid robotic hands with human-level dexterity,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Proception while looking at robotics.

You're building humanoid robotic hands with human-level dexterity, which is genuinely ambitious, so I'd guess people land fascinated but wanting to see how real it is.

Right now the site stays pretty high-level. And there's room for it to show the depth behind the vision.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Proception, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Minerva Intelligence,www.tryminerva.ai,next.js,3479,C+,medium,content,"content build-out (thin, 44; design already good at 70)","content_really_thin is TRUE (44, Coming Soon badges, brief) but design (70) is genuinely good, so framed as building out a site that already looks the part. No perf.","You're automating bookkeeping, tax prep, and reporting in one place, so I'd guess the firms landing want real detail before they hand over their books.","The site already looks the part, it just keeps things brief. And there's room for it to explain the depth and build real confidence.",False,"automating bookkeeping, tax prep, and financial reporting","automating bookkeeping, tax prep, and financial reporting",none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Minerva while looking at fintech tools.

You're automating bookkeeping, tax prep, and reporting in one place, so I'd guess the firms landing want real detail before they hand over their books.

The site already looks the part, it just keeps things brief. And there's room for it to explain the depth and build real confidence.

Is building the site out on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to earn trust with careful buyers, on a similar challenge, giving a light site the depth to convince.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Minerva, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Riff Analytics,riffanalytics.ai/,next.js,3364,C+,medium,design,soft refresh (AI-search-visibility product inference),"Live site (per proof) is an AI-search visibility tool, not the stale Crunchbase 'meeting analytics' description; wrote to what the site shows. Content (77) fine, design (50) fine, no perf. SSL expiry (28 days) staged for msg 2 as the time-sensitive item.","You're tracking where brands show up in AI search results, which is exactly what marketers are scrambling to understand right now, so I'd guess interest is well ahead of how much the site explains.",Which means the site has real momentum to capture. And there's room for it to feel as sharp as the timing.,False,tracking where brands show up in AI search results,tracking where brands show up in AI search results,SSL certificate expiring in ~28 days,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Riff while looking at AI tools.

You're tracking where brands show up in AI search results, which is exactly what marketers are scrambling to understand right now, so I'd guess interest is well ahead of how much the site explains.

Which means the site has real momentum to capture. And there's room for it to feel as sharp as the timing.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one quick thing I noticed, your SSL certificate looks set to expire in about 28 days, worth a renew before it lapses.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
AutoAce,www.autoace.ai/,next.js,3310,C+,high,other,precinct (plugs into CDK and Reynolds),"Content (56) and design (49) fine, no perf. Used the concrete DMS integrations (the systems dealerships already run on) as proof, not the YC/MIT funding-adjacent line.","You plug straight into CDK and Reynolds, the systems dealerships already run on, so I'd guess that fit is exactly what gets a service manager to say yes.",Which means the site is where that click has to land fast. And there's room for it to feel as sharp as the product.,False,"plugs into CDK and Reynolds, the systems dealerships already run on","plugs into CDK and Reynolds, the systems dealerships already run on",none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across AutoAce while looking at AI voice tools.

You plug straight into CDK and Reynolds, the systems dealerships already run on, so I'd guess that fit is exactly what gets a service manager to say yes.

Which means the site is where that click has to land fast. And there's room for it to feel as sharp as the product.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with AutoAce, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Kotcha,www.kotcha.com/,next.js,3293,B-,high,other,precinct (co-founded with Kipchoge and Jornet),none,"You co-founded Kotcha with Eliud Kipchoge and Kilian Jornet, so I'd guess that story alone earns you a level of trust most training apps never get near.",The site is where that credibility either lands or gets flattened into just another fitness app.,,Co-founded with two of the greatest endurance athletes ever; a genuinely strong methodology.,co-founded with Eliud Kipchoge and Kilian Jornet,none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Kotcha while looking at AI coaching tools.

You co-founded it with Eliud Kipchoge and Kilian Jornet, so I'd guess that story alone earns you trust most training apps never get near.

Which means the site is where that credibility either lands or flattens into just another fitness app. And there's room for it to feel as rare as the founding team.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Kotcha, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Dyrt,www.dyrt.co/,next.js,3157,B-,high,other,"precinct (Marriott, Ritz-Carlton, Crypto.com Arena)",none,"You've got names like Marriott and the Ritz-Carlton running their food-waste programs on you, so I'd guess enterprise referrals do a lot of your selling.",The site is where a new enterprise decides you're safe to trust with their compliance.,,Marquee named clients with concrete tracked-waste results.,names like Marriott and the Ritz-Carlton tracking waste with them,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Dyrt while looking at sustainability tools.

You've got names like Marriott and the Ritz-Carlton running their food-waste programs on you, so I'd guess enterprise referrals do a lot of your selling.

Which means the site is where a new enterprise decides you're safe to trust with compliance. And there's room for it to feel as sharp as that client list.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, your current settings block AI crawlers, so tools like ChatGPT can't read the site, which matters more as buyers start there.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Endo Health,endohealth.ai,next.js,3123,D-,medium,content,"content build-out (thin, 25; design already good at 66)",none,"You're doing weight-loss coaching over daily calls and texts instead of another app, which is a genuinely different bet, so I'd guess people land curious but wanting to know how it actually works.","The site leans on feeling right now, and there's room to explain the how so people actually believe it.",,"A refreshingly human, app-free approach; the site already has a distinctive look.","weight-loss coaching over daily calls and texts, no app",none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Ember while looking at health tech.

You're doing coaching over daily calls and texts instead of another app, which is a genuinely different bet, so I'd guess people land curious but wanting to know how it actually works.

The site already looks the part, it just leans on feeling. And there's room for it to explain the how so people believe it.

Is building the site out on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, worth flagging, you've got a Meta Pixel cookie loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Blacktag,blacktag.com,next.js,3039,B-,high,other,"precinct (Amex, Coca-Cola, Paramount partners + 988 creators)",none,"You've got brands like American Express and Coca-Cola on one side and hundreds of creators on the other, so I'd guess growth is really about keeping both sides feeling like this is the place to be.","The site is where both a new brand and a new creator size up whether it's serious, and each needs a different thing from it.",,A striking visual identity and heavyweight brand partners alongside a real creator base.,brands like American Express and Coca-Cola alongside hundreds of creators,none,none,Flatable,none,https://prismport.co/case-studies/flatable,clean,"Hey {first-name}, came across Blacktag while looking at creator platforms.

You've got brands like American Express and Coca-Cola on one side and hundreds of creators on the other, so I'd guess growth is about keeping both sides feeling like this is the place to be.

Which means the site has to speak to a brand and a creator at once. And there's room for it to feel as bold as the identity you've already built.

Is a refresh on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Flatable, a platform with two very different audiences, on a similar challenge to yours.

https://prismport.co/case-studies/flatable

We rebuilt it to hit 95 on PageSpeed, with two clear journeys through the site.

Felt close to what you're working through with Blacktag, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Cedar,cedar.build,next.js,2983,D,medium,content,"content build-out (thin, 40)",none,"You're taking residential builds from land search all the way to permitting in one place, which is a real headache to solve, so I'd guess builders land wanting to see exactly how each step works.","Right now only the first step gets explained, and there's room to show the whole path so a builder trusts it.",,A genuinely useful end-to-end offering and excellent architectural renderings.,land search all the way to permitting in one place,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Cedar while looking at construction tech.

You're taking residential builds from land search all the way to permitting in one place, which is a real headache to solve, so I'd guess builders land wanting to see exactly how each step works.

Right now only the first step really gets explained. And there's room to show the whole path so a builder trusts it.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, turning a thin site into one that actually explains the product and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Cedar, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Ocular AI,www.useocular.com,next.js,2882,C,high,other,precinct (team out of Microsoft and Google),none,"You're built by engineers out of Microsoft and Google, so I'd guess that pedigree is a big part of how enterprise buyers get comfortable trusting you with their internal data.",The site is where that credibility has to come through before a serious enterprise engages.,,"Strong engineering pedigree and genuinely technical, specific product detail.",built by engineers out of Microsoft and Google,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Ocular while looking at enterprise AI.

You're built by engineers out of Microsoft and Google, so I'd guess that pedigree is a big part of how enterprise buyers get comfortable trusting you with their internal data.

Which means the site is where that credibility has to come through. And there's room for it to feel as sharp as the team behind it.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with a demanding audience.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Ocular, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Claybird,www.claybird.com,next.js,2870,B+,high,other,"precinct (publishes real prices, e.g. $9,000 launch videos)",none,"You put your actual prices right on the page, like $9,000 launch videos, so I'd guess that transparency is exactly what wins the trust of buyers tired of agency black boxes.","The site is where that honesty either reads as confidence or gets lost, and it's a rare edge to lean into.",,"Unusual pricing transparency, a polished site, and clever proof (the Slack snippets).","publishing real prices on the page, like $9,000 launch videos",none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Claybird while looking at AI video tools.

You put your actual prices right on the page, like $9,000 launch videos, so I'd guess that transparency is exactly what wins buyers tired of agency black boxes.

Which means the site is where that honesty reads as confidence. And there's room for it to feel as sharp as the work you ship.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with Claybird, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Waveful,waveful.com,next.js,2851,D,medium,content,"content build-out (thin splash, 25)",none,"You're building a gamified social space for people to find their communities, so I'd guess folks land intrigued by the idea but with no real sense of what they'd actually do there.","Right now it reads as a splash page, and there's room to turn it into something that actually shows the experience.",,A compelling central concept and strong hero imagery to build on.,a gamified social space for finding your communities,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Waveful while looking at social apps.

You're building a gamified space for people to find their communities, so I'd guess folks land intrigued by the idea but with no real sense of what they'd actually do there.

Right now it reads as a splash page. And there's room to turn it into something that shows the experience.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to make a big idea click fast, on a similar challenge, turning a thin site into one that holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Waveful, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
Riley,rileyapp.com/,next.js,2755,C-,high,other,precinct (clinical advisory board of named doctors),none,"You've built a clinical advisory board with named doctors behind the guidance, so I'd guess trust is the whole game when parents are deciding whether to rely on you.","The site is where an anxious parent decides you're credible, and that expert backing is your strongest card to play.",,"A named clinical advisory board and a warm, approachable brand.",a clinical advisory board of named doctors,none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across Riley while looking at parenting tech.

You've built a clinical advisory board with named doctors behind the guidance, so I'd guess trust is the whole game when parents decide whether to rely on you.

Which means the site is where an anxious parent decides you're credible. And there's room for it to feel as reassuring as that backing.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, turning first-time visitors into people who actually convert.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Also, one separate thing, the site renders entirely in the browser, so ChatGPT and Google's AI overviews basically can't read it right now, which only matters more for getting found.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Schemata,schemata.com/,next.js,2684,C,high,other,"precinct (NAVSEA, the Air Force, Northeastern)",none,"You've got groups like NAVSEA and the Air Force training on your 3D systems, so I'd guess credibility with serious institutions is exactly what opens the next door.",The site is where a new defense or enterprise buyer decides you're the real thing.,,"Heavyweight named clients (NAVSEA, Air Force, Nestle) plus press coverage.",groups like NAVSEA and the Air Force training on their 3D systems,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Schemata while looking at 3D training tech.

You've got groups like NAVSEA and the Air Force training on your systems, so I'd guess credibility with serious institutions is exactly what opens the next door.

Which means the site is where a new buyer decides you're the real thing. And there's room for it to feel as sharp as that client list.

Have you thought about giving it a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Schemata, happy to show you how we'd approach yours.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Tesseral,tesseral.com,next.js,2571,B-,medium,design,soft refresh (developer-trust inference),none,"You're open-source auth infrastructure for B2B SaaS, so I'd guess the engineers landing want to feel it's rock-solid before they'd ever put it in front of a login.","For auth especially, the site has to earn a developer's confidence fast, and that's where clarity earns its keep.",,Being open-source with real code examples and a named CTO testimonial.,open-source auth infrastructure for B2B SaaS,ad cookies before consent: Google Ads (no consent banner),none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Tesseral while looking at dev tools.

You're open-source auth for B2B SaaS, so I'd guess the engineers landing want to feel it's rock-solid before they'd ever put it in front of a login.

Which means the site has to earn a developer's confidence fast. And there's room for it to feel as sharp as the product.

Is a refresh to match on your radar?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical developer-facing company, on a similar challenge, getting a serious product to land fast with engineers.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, worth flagging, you've got a Google Ads cookie loading the second someone lands, before any consent. I'm assuming you'll have EU visitors, so worth getting that side GDPR compliant. Not a big job.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
The Network,www.thenetwork.com/,next.js,2532,D,medium,content,"content build-out (very thin, 19)",none,"You're building a people search engine to help the right people meet, which is a genuinely interesting idea, so I'd guess visitors land intrigued but leave without knowing what it actually does.","Right now the page reads as a mission statement, and there's room to turn it into something that shows the product.",,"A compelling, ambitious premise worth explaining.",a people search engine to help the right people meet,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across The Network while looking at AI tools.

You're building a people search engine to help the right people meet, which is a genuinely interesting idea, so I'd guess visitors land intrigued but leave without knowing what it actually does.

Right now the page reads as a mission statement. And there's room to turn it into something that shows the product.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a company that had to make a big idea click fast, on a similar challenge, turning a thin site into one that actually explains itself.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with The Network, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
TOBY,www.toby.health/,next.js,2418,C-,medium,content,"content build-out (thin, 49)",none,"You're doing early cancer detection from a simple noninvasive test, which is a big, serious promise, so I'd guess people land wanting real proof before they'll believe it.","Right now the site gives the three-step version, and there's room for the depth and evidence a claim like this needs.",,"A clear, meaningful mission and an easy-to-grasp process.",early cancer detection from a simple noninvasive test,none,none,Webless AI,none,https://prismport.co/case-studies/webless-ai,clean,"Hey {first-name}, came across TOBY while looking at health tech.

You're doing early cancer detection from a simple noninvasive test, which is a big, serious promise, so I'd guess people land wanting real proof before they'll believe it.

Right now the site gives the three-step version. And there's room for the depth and evidence a claim like this deserves.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with Webless, an AI product, on a similar challenge to yours, giving a light site the depth to convince and turning visitors into believers.

https://prismport.co/case-studies/webless-ai

After the rebuild, bounce dropped 20%, the animations loaded 70% faster, and time on page went up 32%.

Felt close to what you're working through with TOBY, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Zaun,zaun.ai,next.js,2392,B-,high,other,"precinct (named customers, Audubon + Executive Law Partners)",none,"You've got customers like the National Audubon Society vouching for you with real case studies, so I'd guess trust and proof are what move security buyers to say yes.",The site is where a security team decides you're safe to bring into their operations.,,"Named customer testimonials with a case study, and a cohesive brand.",customers like the National Audubon Society vouching for them,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Zaun while looking at security tools.

You've got customers like the National Audubon Society vouching for you with real case studies, so I'd guess trust and proof are what move security buyers to say yes.

Which means the site is where a security team decides you're safe to bring in. And there's room for it to feel as sharp as the product.

Ever thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company selling to careful buyers, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Also, one separate thing, your current settings block AI crawlers, so tools like ChatGPT can't read the site, which matters more as buyers start there.","Hey {first-name}, I'll leave this with you for now. Whenever it feels like the right time, I'd be glad to talk through how we'd approach it."
Sensei Robotics,senseirobotics.com/,next.js,2311,C-,medium,content,"content build-out (thin, 30)",none,"You're the engineering muscle other robotics companies lean on for data collection, so I'd guess the teams landing want to see exactly what you've built and who you've done it for.","Right now the site keeps things high-level, and there's room to show the depth and track record that would win a technical buyer.",,"A clear, valuable niche serving the robotics field.",the engineering muscle other robotics companies lean on for data collection,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Sensei while looking at robotics.

You're the engineering muscle other robotics companies lean on for data collection, so I'd guess the teams landing want to see exactly what you've built and who you've done it for.

Right now the site keeps things high-level. And there's room to show the depth that would win a technical buyer.

Have you thought about building the site out?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a deeply technical company, on a similar challenge, turning a thin site into one that actually explains the work and holds attention.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Sensei, happy to show you how we'd approach yours.","Hey {first-name}, no rush on this at all. If it ever moves up your list, I'm happy to jump on a quick call and show you what we'd do."
Jacobi Robotics,www.jacobirobotics.com,next.js,2288,C-,high,other,"precinct (ABB, Honeywell, DHL, FORTNA)",none,"You've got names like ABB and DHL working with your palletizing software, so I'd guess those partnerships are exactly what makes a new operations team take you seriously.",The site is where a warehouse operator decides you're proven enough to trust on their line.,,"Marquee named partners (ABB, Honeywell, DHL) and concrete product detail.",names like ABB and DHL working with their palletizing software,none,none,NewsCatcherAPI,none,https://prismport.co/case-studies/newscatcher,clean,"Hey {first-name}, came across Jacobi while looking at robotics.

You've got names like ABB and DHL working with your palletizing software, so I'd guess those partnerships are exactly what makes a new operations team take you seriously.

Which means the site is where an operator decides you're proven enough to trust on their line. And there's room for it to feel as sharp as those partners.

Have you thought about a refresh to match?","Hey {first-name}, quick context, we're a design and Webflow studio.

We recently worked with NewsCatcher, a technical company, on a similar challenge, making a serious product land as credibly as it deserves.

https://prismport.co/case-studies/newscatcher

After the rebuild, engagement went up 3,600%, with sessions going from around 20 seconds to over 3 minutes.

Felt close to what you're working through with Jacobi, happy to show you how we'd approach yours.","Hey {first-name}, I'll stop here so I'm not crowding your inbox. Whenever the timing's right for a quick chat, I'm around and happy to help."
